City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,punta del este,-34.9667,-54.95,15.06,73,75,4.02,UY,1699841679
269,gadani,25.1185,66.7299,18.12,57,100,1.96,PK,1699841679
270,kumeny,58.1089,49.9161,0.45,97,100,7.58,RU,1699841679
271,lebu,-37.6167,-73.65,8.7,69,0,6.27,CL,1699841679
272,usak,38.5,29.4167,11.11,85,14,2.01,TR,1699841680
273,hamilton,39.1834,-84.5333,9.32,68,0,0.89,US,1699841680
274,anastacio,-20.4836,-55.8069,31.56,33,23,2.36,BR,1699841680
275,gokarna,14.55,74.3167,25.32,70,34,4.11,IN,1699841681
276,nar'yan-mar,67.6713,53.087,-11.61,94,43,2.24,RU,1699841681
277,mount gambier,-37.8333,140.7667,18.58,42,34,4.3,AU,1699841681
278,lake albert,-35.1667,147.3833,26.33,22,3,3.59,AU,1699841682
279,mersa matruh,31.3525,27.2453,19.86,80,11,0.71,EG,1699841682
280,taybad,34.74,60.7756,10.5,51,0,1.14,IR,1699841682
281,nadi,-17.8,177.4167,26.0,83,75,4.63,FJ,1699841653
282,saint-pierre,-21.3393,55.4781,20.82,60,0,4.63,RE,1699841682
283,broken hill,-31.95,141.4333,26.83,17,10,4.73,AU,1699841683
284,jiujiang,29.7333,115.9833,8.97,41,99,6.64,CN,1699841683
285,nemuro,43.3236,145.575,4.89,48,38,4.84,JP,1699841389
286,galliano,29.4422,-90.2992,21.0,88,100,4.12,US,1699841683
287,chajari,-30.7505,-57.9796,20.04,94,100,4.03,AR,1699841684
288,codrington,-38.2667,141.9667,16.61,51,7,5.97,AU,1699841684
289,barcelos,41.5388,-8.6151,18.08,96,100,4.45,PT,1699841684
290,loukhi,66.0764,33.0381,-5.04,96,88,2.43,RU,1699841684
291,tympaki,35.0729,24.7685,18.98,78,41,3.83,GR,1699841685
292,valparaiso,-33.0393,-71.6273,12.8,66,75,2.06,CL,1699841521
293,college,64.8569,-147.8028,-11.03,85,40,2.57,US,1699841660
294,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,74,40,12.52,RU,1699841685
295,constantia,44.1833,28.65,6.5,50,100,2.54,RO,1699841416
296,tazacorte,28.629,-17.9293,23.42,37,20,4.02,ES,1699841686
297,daru,-9.0763,143.2092,27.02,68,83,3.46,PG,1699841406
298,choibalsan,48.0667,114.5,-6.88,78,1,4.86,MN,1699841686
299,hollister,36.8525,-121.4016,16.21,64,0,0.89,US,1699841626
300,sao jose de ribamar,-2.5619,-44.0542,27.21,79,0,5.89,BR,1699841395
301,howrah,22.5892,88.3103,23.0,88,26,3.09,IN,1699841687
302,copala,16.65,-98.9833,26.33,86,5,2.61,MX,1699841687
303,skeldon,5.8833,-57.1333,26.78,84,2,3.89,GY,1699841687
304,chernyshevskiy,63.0128,112.4714,-15.88,98,100,1.64,RU,1699841688
305,camarinas,43.1311,-9.1817,18.99,93,91,12.38,ES,1699841688
306,zhangye,38.9342,100.4517,1.22,32,0,2.12,CN,1699841688
307,dhalie,13.6957,44.7314,18.6,66,18,1.19,YE,1699841691
308,les sables-d'olonne,46.6667,-1.8333,16.44,83,92,11.69,FR,1699841692
309,namsos,64.4662,11.4957,-0.97,74,1,7.2,NO,1699841692
310,geraldton,-28.7667,114.6,26.23,53,0,4.12,AU,1699841692
311,alice springs,-23.7,133.8833,33.75,26,40,4.12,AU,1699841692
312,berezovyy,51.6667,135.7,-6.44,51,61,0.51,RU,1699841693
313,st. john's,47.5649,-52.7093,-0.57,83,100,5.66,CA,1699841693
314,malanje,-9.5402,16.341,17.02,99,98,0.88,AO,1699841693
315,al bawiti,28.3492,28.8659,19.59,86,0,3.49,EG,1699841693
316,oranjemund,-28.55,16.4333,14.13,86,0,6.98,NA,1699841694
317,taltal,-25.4,-70.4833,17.44,73,2,2.35,CL,1699841694
318,chardara,41.2547,67.9692,6.65,53,84,3.79,KZ,1699841694
319,bremen,53.0752,8.8078,3.9,97,40,1.03,DE,1699841609
320,turpan,42.9333,89.1667,6.89,29,1,0.71,CN,1699841695
321,nova sintra,14.8667,-24.7167,23.57,67,71,2.53,CV,1699841695
322,corinto,37.9407,22.9573,17.16,87,100,1.41,GR,1699841695
323,saldanha,-33.0117,17.9442,13.03,88,0,6.38,ZA,1699841695
324,dagumba-an,8.1531,124.5908,28.72,63,15,1.57,PH,1699841696
325,tucumcari,35.1717,-103.725,5.91,39,0,2.06,US,1699841696
326,singaraja,-8.112,115.0882,30.97,62,57,1.24,ID,1699841696
327,kone,-21.0595,164.8658,27.9,42,10,4.41,NC,1699841696
328,vallenar,-28.5708,-70.7581,18.11,43,7,0.34,CL,1699841697
329,maxixe,-23.8597,35.3472,23.05,86,98,3.3,MZ,1699841697
330,crane,31.3974,-102.3501,14.08,77,100,3.4,US,1699841697
331,peace river,56.2501,-117.286,-0.83,86,75,2.57,CA,1699841549
332,nadvoitsy,63.8667,34.3167,-3.0,83,100,6.77,RU,1699841697
333,panadura,6.7132,79.9026,25.46,87,100,2.29,LK,1699841698
334,hammerfest,70.6634,23.6821,-6.75,63,15,0.51,NO,1699841698
335,camana,-16.6228,-72.7111,19.24,90,99,3.77,PE,1699841698
336,la ronge,55.1001,-105.2842,-1.74,92,12,3.16,CA,1699841452
337,klyavlino,54.2649,52.0267,2.75,80,100,9.24,RU,1699841699
338,sao jose do belmonte,-7.8614,-38.7597,24.6,41,0,2.99,BR,1699841699
339,berdigestyakh,62.0989,126.6992,-16.09,95,100,3.86,RU,1699841699
340,shahpura,27.3833,75.9667,16.76,56,3,0.85,IN,1699841699
341,eurajoki,61.2,21.7333,0.01,91,100,3.19,FI,1699841699
342,mitsamiouli,-11.3847,43.2844,27.2,77,8,4.58,KM,1699841700
343,sirte,31.2089,16.5887,21.14,68,0,2.22,LY,1699841700
344,kapustin yar,48.5831,45.7372,10.62,95,100,5.17,RU,1699841700
345,namdrik,5.5994,168.1028,28.58,81,100,5.69,MH,1699841700
346,thinadhoo,0.5333,72.9333,26.67,78,100,1.75,MV,1699841701
347,aasiaat,68.7098,-52.8699,-14.29,83,18,0.94,GL,1699841701
348,ceyhan,37.0247,35.8175,14.91,44,6,1.79,TR,1699841701
349,lautoka,-17.6167,177.4667,25.92,83,75,4.63,FJ,1699841701
350,arinos,-15.9169,-46.1056,25.85,33,30,0.3,BR,1699841602
351,sao jose da coroa grande,-8.8978,-35.1478,21.51,86,3,0.03,BR,1699841506
352,kodinsk,58.6881,99.1844,-9.76,87,100,1.65,RU,1699841702
353,cockburn town,21.4612,-71.1419,28.48,76,4,8.86,TC,1699841696
354,mariental,-24.6333,17.9667,22.39,30,4,3.42,NA,1699841703
355,sur,22.5667,59.5289,24.88,53,84,2.57,OM,1699841703
356,ibipeba,-11.6408,-42.0111,22.56,37,2,2.28,BR,1699841704
357,aykhal,66.0,111.5,-12.99,96,100,4.1,RU,1699841704
358,san luis de la loma,17.2706,-100.8939,26.99,84,41,2.54,MX,1699841705
359,lata,40.1629,-8.3327,17.67,96,82,1.65,PT,1699841705
360,pushkar,26.5,74.55,16.18,51,40,1.51,IN,1699841706
361,ust'-kut,56.7938,105.7672,-9.76,81,25,1.34,RU,1699841706
